id,failure_class,root_invariant,pleris_status,prevention_layers,proposed_treatment,priority,evidence_ids
Q06,"Muted, disabled and ended tracks are treated as one state",Temporary absence and terminal resource loss are different transitions,missing,A+D+F,Derive explicit track states and recovery; avoid reacquiring devices on every transient pause,P2,"MEDIA,PCH"
Q07,Codec or browser feature assumption has no supported fallback,A capability-dependent operation has a tested availability and failure path,specified but unproven,B+D+F+H,Target profiles plus runtime negotiation; no UA-string proof of support,P2,"RTC,MEDIA,PCH"
Q08,Real-time timestamps from different clocks drift or reorder output,Timebase and conversion uncertainty belong to the synchronization contract,missing,B+D+H,Type media/device timebases separately; application chooses sync tolerance,P2,"RTC,TIME,PCH"
R01,Code unrelated to a route or interaction ships to the browser,Each shipped artifact has a reachable browser use and explanation,partially covered,C+G,Track reachability through captures and imports; measure JS/Wasm plus manifests and HTML,P1,"PCH,PST,PMX"
R02,Equivalent dependencies or embedded state are duplicated in delivery,Shared semantic identity permits sharing without crossing privacy/version boundaries,specified but unproven,C+D+G,Deduplicate lawful code/state and measure total cold/warm transfer,P1,"PWP,PCH"
R03,Independent requests form an accidental waterfall,"Dependencies, not source nesting alone, determine required serialization of requests",specified but unproven,C+D+G,Parallelize only independent authorized work; avoid speculative requests with side effects or privacy cost,P1,"PCH,PWP"
R04,Per-item data access causes N+1 queries,Set-oriented intent should not accidentally require per-row round trips,specified but unproven,C+D+G,Derive batching for analyzable queries; instrument foreign-call cardinality and expose unknown plans,P1,"PGISO,GRAPHQL,PCH"
R05,"Data fetching overfetches, underfetches or repeats serialization",Transferred representation contains what the consuming contract needs within policy,specified but unproven,C+D+G,Project known reads; avoid removing fields required by opaque interop; measure serialization separately,P1,"GRAPHQL,PWP"
R06,Long computation monopolizes the browser main thread,Nonurgent generated work respects interaction scheduling and cancellation,specified but unproven,C+D+G,Cooperatively schedule or offload eligible computation; profile algorithms whose cost is unknown,P1,"INP,PCH"
R07,Critical image/font/resource is discovered too late,Critical content dependencies can be discovered without waiting for irrelevant execution,specified but unproven,C+G+H,Derive resource discovery from route graph; profile priority and preserve responsive/art-direction choices,P1,"LCP,PCH"
R08,Offscreen optimization leaves unbounded live DOM or subscriptions,Live object/cardinality budgets are separate from render-work budgets,partially covered,D+G+H,"Measure DOM, observers, subscriptions and retained state, not only layout time",P1,"CVIS,PST"
R09,Query plan or server cold start violates latency assumptions,Compilation validity does not establish deployed cost under actual data and caches,specified but unproven,E+G+H,Profile cardinality/index/connection/cold-start regimes; choose placement from measured feasible plans,P1,"PGISO,PCH"
S01,Per-key safety hides unbounded distinct-key demand,"Aggregate work is bounded across keys, tenants, queues and dependency fanout",partially covered,D+E+H,"Compose request, node and tenant budgets with explicit shed/degrade outcomes",P0,"PRS,GRAPHQL,PCH"
S02,Retries multiply across independent layers,One logical operation has one composed retry budget,partially covered,C+D+E,Assign retry ownership; account for SDK/proxy retries; respect upstream throttling,P0,"AWSRETRY,AWSSDK,PCH"
S03,Same-key clients use identical jitter and synchronize retries,Independent retrying owners must not accidentally share a lockstep schedule,partially covered,D+G,Use reproducible seeded entropy with owner/attempt identity; test same-key many-client schedules,P1,"PRS,PRT,AWSRETRY"
S04,Recovery releases a backlog faster than dependencies recover,Recovery traffic is admitted within current dependency capacity,specified but unproven,D+E+H,"Budget warmups, queue replay, reconnects and cache regeneration together",P0,"CF25,AWSRETRY,PCH"
S05,One tenant exhausts resources needed by others,"Tenant isolation includes capacity, not only data visibility",specified but unproven,D+E+H,Attribute CPU/memory/query/egress costs to tenant and operation; enforce fairness policy,P1,"GRAPHQL,PCH"
S06,Diagnostic or audit pipeline amplifies an outage,Observation work cannot consume unbounded resources or block critical recovery,partially covered,D+E+H,Budget trace queues and attribute cardinality; distinguish best-effort telemetry from required audit,P1,"PRS,OTEL,PCH"
S07,Circuit breaker or fallback silently violates correctness,Resilience mechanisms must preserve declared safety or expose unavailability,specified but unproven,B+D+H,Permit stale fallback only within data/authorization policy; no global magic breaker fallback,P0,"PWP,ZANZ"
S08,Valid configuration unexpectedly exceeds safe work or blast radius,Schema validity and operational admission are distinct gates,specified but unproven,D+E+G,"Check semantic limits and rollout scope, then monitor canary outcomes",P1,"FAST,CFNOV,PCH"
T01,Compatibility checks cover a handler but not its whole durable dependency graph,"Every active client, intent, workflow and stored representation has a valid path through deployment",partially covered,B+C+D+E,"Model schemas, operation contracts, policies, keys, workers and retained artifacts together",P0,"PST,PB,TEMPW,SW"
T02,Old assets are deleted while active clients still reference them,Artifact retention is at least the admitted client/version lifetime or has safe recovery,specified but unproven,D+E+H,Coordinate asset garbage collection with active version policy and draft-preserving reload,P1,"SW,PWP"
T03,Rollback restores code but cannot read already-migrated data,Rollback eligibility includes data compatibility and irreversible effects,specified but unproven,B+E+H,Generate compatibility checks; require explicit irreversible migration/recovery policy,P0,"PB,IDB,PCH"
T04,Configuration update bypasses code rollout protections,Configuration is executable operational input with a release identity,specified but unproven,C+E+G,"Include configuration in semantic and deployment diffs, canaries and rollback",P1,"FAST,CFNOV,PCH"
T05,Shared credential or signing-key rotation invalidates all active consumers,Trust material has a lifecycle compatible with active artifact and session lifetimes,specified but unproven,D+E+G,"Track key epochs and overlap; test expiry, emergency revocation and stale clients",P1,"MOZCERT,PCH"
T06,Distributed failover accepts conflicting authorities,Only an admitted authority epoch may commit where single-writer safety is promised,specified but unproven,D+E+H,"Require host/database guarantees, fence old owners and expose availability loss",P0,"GH18,JEPSEN,PWP"
T07,Migration or background repair is not restartable,"Maintenance makes progress through recoverable, versioned checkpoints",specified but unproven,D+E+H,Generate checkpoint and restart protocol; retain explicit data conversion and error handling,P1,"TEMPW,PCH"
T08,Source contract differs from the exact deployed artifact,"Admission depends on actual artifact requirements, not only claimed manifest",partially covered,D+E+G,Retain actual import/component-type checks and bind contract to artifact digest,P0,"PST,PNX,SLSA"
U01,Trusted dependency acquires unneeded runtime authority,"Dependency authority is the granted minimum, not the importing app's whole environment",specified but unproven,B+D+E,Propagate per-package requirements; isolate untrusted code where host boundaries actually enforce them,P0,"NPM,LAVA,LAVAWEB,PCH"
U02,Build plugin compromise bypasses runtime sandbox claims,The compiler/build chain is a separate privileged trust boundary,specified but unproven,E+G,Restrict build network/secrets/files; verify source-to-artifact provenance separately,P0,"LAVAWEB,SLSA,BAZEL,PCH"
U03,Authentic artifact is mistaken for benign code,Identity and provenance do not establish acceptable behavior,specified but unproven,D+E+H,"Keep provenance, vulnerability review and permission admission separate",P1,"SLSA,NPM,PCH"
U04,Undeclared environment input changes build result,"Build outputs depend only on declared, identified inputs",specified but unproven,B+E+G,"Track environment, locale, filesystem, toolchains and generated resources; reject undeclared access",P1,"BAZEL,PCH"
U05,Incremental result differs from a clean build,Incremental computation is observationally equivalent to fresh computation,specified but unproven,C+G,Key by complete semantic inputs; compare incremental/clean outputs under edits and cache corruption,P0,"RUSTINC,SALSA,PCH"
U06,Package or declaration identity collapses distinct versions or sources,Equal spelling does not establish package/declaration identity across build or ABI,partially covered,A+B+C,Include authoritative package provenance and version semantics; never use final name segments as identity,P0,"PNX,SLSA,PCH"
U07,Pinned dependency cannot be obtained or reproduced,"Reproducibility includes recoverable inputs, not merely a lockfile",specified but unproven,E+H,Retain licensed build inputs and verify integrity; declare offline/recovery support,P2,"BAZEL,SLSA,PCH"
U08,Generated source maps or diagnostics expose secret source content,Debug metadata obeys the same audience boundary as executable output,specified but unproven,B+C+E,"Partition source maps, diagnostics and build logs by audience; audit public release contents",P1,"RSC2,OTEL,PCH"
V01,Application-only validation loses a race or is bypassed by another writer,Persistent invariants are enforced at the authoritative write boundary,specified but unproven,C+D+E,Derive supported constraints from domain authority; explicitly map external database invariants,P0,"PGCON,PCH"
V02,"Database backend changes semantics of null, constraint or transaction behavior",Adapters must preserve requested semantic guarantees or reject unsupported mapping,specified but unproven,B+D+G,Conformance-test backend semantics rather than treating SQL dialects as equivalent,P1,"PGCON,PGISO,PCH"
V03,Transaction holds scarce locks while waiting on unrelated remote work,Transaction lifetime is bounded and external effects do not silently extend critical sections,specified but unproven,B+D+H,Detect unsupported remote awaits and budget transaction time; require explicit justified pattern,P1,"PGISO,AWSTIME,PCH"
V04,Deadlock or serialization retry repeats unsafe side effects,A retried transaction body is replay-safe at every external effect,specified but unproven,B+D,Keep external effects behind post-commit protocol; surface bounded conflict retry,P1,"PGISO,PWP"
V05,Backup exists but cannot restore the promised state,"Recoverability is demonstrated by restore and reconciliation, not backup-job success",missing,E+G+H,"Test backups, keys, schema and operation ledger together; report actual recovery limits",P1,"GL17,PCH"
V06,Destructive maintenance executes under ordinary application authority,Irreversible broad actions require narrowly scoped maintenance authority and target identity,missing,B+E+H,Distinguish read/write from destructive maintenance; confirm target/environment in deploy plan,P1,"GL17,PCH"
V07,Database record and external blob have inconsistent lifecycle,Cross-store referential lifecycle needs staged publication and recoverable cleanup,specified but unproven,D+H,"Model pending upload, committed reference and orphan reclamation; no fake cross-store atomicity",P1,"UPLOAD,PWP"
W01,Metric schema is correct but records the wrong business event,"A metric identifies its event, unit, population and observation point",missing,B+C+D+G+H,"Separate assigned, exposed, activated and completed events; derive mechanical fields only",P0,"SRM,PWP"
W02,Experiment assignment and delivered treatment disagree,"Assignment, eligibility, delivery and exposure are distinct recorded facts",missing,D+G+H,Carry assignment identity through cache/placement; log actual exposure under consent policy,P1,"SRM,PWP"
W03,Sampling or missing data is presented as a full count,Measurement coverage and sampling semantics remain attached to aggregates,missing,C+D+H,"Expose sample weights, dropped-event counters and completeness; do not infer business absence",P1,"SRM,OTEL,PCH"
W04,Trace explains local execution but loses cross-boundary cause,Every claimed causal edge corresponds to propagated identity/evidence,specified but unproven,C+D+G,Propagate operation/attempt/resource/commit IDs through generated adapters; distinguish cause from correlation,P1,"PCH,PRQ"
W05,Feature flag changes authority or cache meaning without review,Behavioral configuration changes are semantic deployment changes,missing,B+C+E,"Include flag-enabled effects, policy and key dependencies in semantic diffs; no hidden privileged bypass",P1,"SRM,PCH"
W06,Replay records too little to reproduce or too much private data,"Replay claims state which inputs are captured, redacted, substituted or unavailable",specified but unproven,D+G+H,Record scheduler/clock/random/foreign outcomes where allowed; mark opaque/redacted segments nonreplayable,P1,"FDB,OTEL,PCH"
W07,Audit durability is confused with best-effort analytics delivery,Each observation stream declares whether loss is acceptable,missing,D+E+H,Separate transactional audit from operational trace and analytics; budgets must not silently drop mandatory records,P1,"OTEL,PWP"
X01,A witness fails for a different defect than its claimed invariant,A negative witness's prerequisites are valid and only the intended defect differs from its control,partially covered,G,Operationalize existing witness rule after value typing; check all prerequisites and causal evidence,P0,"PRQ,PNX"
X02,Passing test is vacuous or discards the relevant outcome,The observation would fail when the promised behavior is removed,partially covered,G,Check actual outcomes under forced schedules; mutate cancellation/publication/decoding independently,P0,"PRT,PRQ"
X03,A stand-in implements missing semantics and makes the demo pass,End-to-end evidence traverses the generated production path it claims,partially covered,G,Require source-to-artifact-to-host-to-browser reachability for integrated claims,P0,"PRQ,PST,PNX"
X04,Test oracle is derived from the same incorrect implementation,Single semantic authority does not eliminate independent evidence,specified but unproven,G,Derive routine fixtures but retain independent standards/model oracles and adversarial inputs,P0,"PRQ,FDB,PCH"
X05,Browser automation is mistaken for complete device/AT compatibility,"Compatibility claims are bounded by actual browser, device and assistive technology coverage",specified but unproven,F+G,"Test real mobile lifecycle, keyboard, screen readers and browser policies; record exact matrix",P1,"PCH,WCAG,APG"
X06,Hot reload preserves state whose meaning changed,"HMR state preservation requires semantic compatibility, otherwise explicit reset/migration",specified but unproven,C+D+G,"Compare state shape, identity, capabilities and active resources; preserve only valid state",P1,"PCH,PB"
X07,Diagnostic points to generated machinery instead of the semantic cause,Every inferred conclusion can explain its originating facts and violated boundary,partially covered,C+G,Preserve source spans through transformations; show shortest causal chain and legal repair,P1,"PRQ,PCH,PNX"
X08,Rename or incremental refactor changes semantic identity accidentally,Refactoring preserves denotation unless an intentional public contract change is declared,partially covered,A+C+G,Test rename/module reorder equivalence; report actual API-identity changes separately,P0,"PNX,PRQ"
X09,Build or optimization succeeds without preserving source semantics,Target validity is not semantic equivalence to the checked source,partially covered,G,Compare typed IR and emitted behavior on adversarial programs; audit information-losing projections,P0,"PNX,RUSTINC,PCH"
Y01,Foreign type declaration is treated as proof of foreign runtime values,External values and behavior enter only through validated contracts,partially covered,B+C+D,No TypeScript assertion import as trusted value; decode and constrain effects,P0,"PWP,PNX"
Y02,Two independently authored interfaces compete as one API authority,Each interface has one authoritative schema; projections cannot re-declare it,partially covered,A+C+G,Pleris-owned API emits bindings; foreign-owned API imports schema; semantic wrapper adds distinct domain meaning,P0,PNX
Y03,Component/core ABI equality erases important semantic distinctions,Each boundary checks the richest contract necessary before lowering loses information,partially covered,B+D+E+G,"Audit semantic type, component signature and core encoding as different relations",P0,"PNX,PST"
Y04,Embedded island and host both own the same state or DOM,"Interop names the authority for state, navigation, DOM and lifecycle",specified but unproven,B+C+D+H,One direction per state authority; bridge typed events and scoped resources,P0,"PWP,TRANSLATE"
Y05,Transport schema is confused with full API behavior,An adapter contract covers behavior as well as data shape,specified but unproven,B+D+G+H,"Model REST/GraphQL/RPC errors, pagination, retries, ordering and auth; browser gRPC uses a compatible transport adapter",P1,"STRIPEW,GRAPHQL,PB,PWP"
Y06,Foreign widget receives implicit whole-page authority,Interop guarantees depend on enforceable origin/realm/host confinement,specified but unproven,B+D+E+F,"Expose narrow node, data and effect interfaces; use real isolation for hostile code",P0,"LAVAWEB,LAVA,PWP"
Z01,Coding agent changes its own evidence or grants to make failure disappear,Verification and authority approval are outside the mutation authority of the evaluated patch,specified but unproven,E+G+H,Separate agent-writable source from trusted evaluation and grant approval; semantic diff highlights weakened guarantees,P0,"PRQ,PCH,AISEC"
Z02,Hallucinated package/API becomes an unsafe dependency acquisition,Unresolved external names cannot silently create trusted dependency authority,specified but unproven,B+E,Require existing typed exports and explicit dependency/capability review; package existence alone is insufficient,P1,"AIPKG,SLSA,PCH"
Z03,Safety feature rejects legitimate applications or overwhelms authors,A conservative rule must preserve an acceptable supported-program envelope,partially covered,B+G+H,Maintain positive counterexamples and task-based readability tests; move dynamic cases to checked boundaries,P0,"PST,PCH"
Z04,Automatic placement is legal but surprising or operationally unstable,Optimization preferences are subordinate to constraints and reviewable plan stability,specified but unproven,C+E+G+H,Separate feasibility from cost optimization; explain and diff plan changes; profile before migration,P0,"PWP,PCH"
Z05,Valid program implements the wrong product requirement,Structural safety is not a proof that the chosen policy or requirement is right,intentionally outside scope,G+H+I,Expose assumptions and domain policy changes; never score compile success as product success,P1,"AISEC,AIOLD,PWP"
Z06,Browser or infrastructure exploit bypasses the platform's trusted base,Guarantees are conditional on the integrity of the named trusted computing base,intentionally outside scope,E+F+I,Document compiler/runtime/host/browser trust assumptions and remediation; no language-level universal immunity,P1,"PWP,LAVAWEB,SLSA"
