id,title,url,kind,reviewed_scope
PCH,PROJECT_CHARTER.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/PROJECT_CHARTER.md,Repository source,"Semantic goals, primitives, browser constraints, gates and deferred work"
PST,docs/STATUS.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/STATUS.md,Repository source,"Current E9 reopening, accumulated implementation claims; historical entries can conflict"
PNX,docs/NEXT.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/NEXT.md,Repository source,"Resolved-type migration, unimplemented call/return checking, generic syntax, E10-I"
PMS,docs/MILESTONES.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/MILESTONES.md,Repository source,Milestone contracts and reopened E9
PSE,docs/SEMANTICS.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/SEMANTICS.md,Repository source,Early semantic reference; stale relative to current work
PAR,docs/ARCHITECTURE.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/ARCHITECTURE.md,Repository source,Early architecture; stale Milestone 0 status
PRR,docs/RISK_REGISTER.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/RISK_REGISTER.md,Repository source,Original risks; distinguish obsolete entries from current evidence
PRQ,docs/RISK_QUEUE.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/RISK_QUEUE.md,Repository source,"Semantic witness failures, evidence admissibility, unresolved-call history"
PDE,docs/DECISIONS.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/DECISIONS.md,Repository source,"ADR index: provenance, identities, causality, optimistic transitions and boundaries"
PWP,web-recompiled/whitepaper.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/web-recompiled/whitepaper.md,Repository source,"Full design draft, especially sections 4–17; explicit uncertainty and adoption"
PPR,web-recompiled/proof-roadmap.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/web-recompiled/proof-roadmap.md,Repository source,Proof ladder and six separate claims; launch examples are not results
PMX,docs/research/technology-matrix.md,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/docs/research/technology-matrix.md,Repository source,Existing researched systems; basis for missing-prior-art comparison
PRS,runtime/pw-resource/src/lib.rs,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/runtime/pw-resource/src/lib.rs,Repository source,"Direct source inspection of Resources.fetch, release, command and cache; not rerun"
PRT,runtime/pw-resource/tests/gate.rs,https://github.com/Kimeiga/perfect-web/blob/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45/runtime/pw-resource/tests/gate.rs,Repository source,"Direct source inspection of deduplication, command, cancellation and privacy tests; not rerun"
PCOM,Snapshot commit,https://github.com/Kimeiga/perfect-web/commit/0c2579d2bda9edb91a1ccb817b93f2ba0ab24f45,Repository metadata,Default master snapshot; commit dated 2026-08-23; no unmerged-branch audit
CF25,"Cloudflare September 12, 2025 dashboard/API postmortem",https://blog.cloudflare.com/deep-dive-into-cloudflares-sept-12-dashboard-and-api-outage/,Incident,"Effect identity trigger distinguished from Tenant Service deployment, authorization dependency and recovery amplification"
CF19,"Cloudflare July 2, 2019 outage",https://blog.cloudflare.com/details-of-the-cloudflare-outage-on-july-2-2019/,Incident,"Regex work explosion, removed protection, insufficient CPU tests and broad rollout"
CFNOV,"Cloudflare November 18, 2025 outage",https://blog.cloudflare.com/18-november-2025-outage/,Incident,"Permission change, duplicate configuration rows, oversized feature file, recovery amplification"
GH18,"GitHub October 21, 2018 post-incident analysis",https://github.blog/news-insights/company-news/oct21-post-incident-analysis/,Incident,"Network partition, failover, divergent writes and recovery constraints"
GL17,GitLab.com database incident,https://about.gitlab.com/blog/gitlab-dot-com-database-incident/,Incident,Production deletion and multiple unreliable backup/restore mechanisms
FAST,"Fastly June 8, 2021 outage",https://www.fastly.com/blog/summary-of-june-8-outage,Incident,Valid configuration triggered latent software bug with broad impact
NEXT,Next.js middleware bypass postmortem,https://vercel.com/blog/postmortem-on-next-js-middleware-bypass,Incident,CVE-2025-29927; routing/middleware cannot be sole data authorization boundary
RSC,Critical security vulnerability in React Server Components,https://react.dev/blog/2025/12/03/critical-security-vulnerability-in-react-server-components,Advisory,Unauthenticated RSC payload decoding vulnerability; no exploit instructions
RSC2,Denial of service and source exposure in React Server Components,https://de.react.dev/blog/2025/12/11/denial-of-service-and-source-code-exposure-in-react-server-components,Advisory,Decode work limits and source exposure; updated January 2026
CACHEPOISON,Practical Web Cache Poisoning,https://portswigger.net/research/practical-web-cache-poisoning,Security research,Unkeyed inputs and differing routing/cache interpretation
DESYNC,HTTP/2: The Sequel is Always Worse,https://portswigger.net/research/http2,Security research,HTTP/2 to HTTP/1 downgrade and message-boundary disagreement
NPM,Details about the event-stream incident,https://blog.npmjs.org/post/180565383195/details-about-the-event-stream-incident,Incident,2018 malicious transitive dependency and maintainer handover
NPMTOK,"npm operations incident July 12, 2018",https://blog.npmjs.org/post/175824896885/incident-report-npm-inc-operations-incident-of.html,Incident,Compromised publisher credentials and malicious package capable of token access; exfiltration not established
MOZCERT,Technical details on the Firefox add-on outage,https://hacks.mozilla.org/2019/05/technical-details-on-the-recent-firefox-add-on-outage/,Incident,2019 shared signing intermediate certificate expiration
RUSTINC,Rust 1.52.1 and incremental compilation failures,https://blog.rust-lang.org/2021/05/10/Rust-1.52.1/,Incident,Incremental fingerprint verification exposed prior silent miscompilation risk
TRANSLATE,React issue 11538: Google Translate DOM mutations,https://github.com/facebook/react/issues/11538,Issue reproduction,2017 reproducible removeChild failure after external DOM changes; not a claim about all current React
IME,React issue 8683: IME composition and controlled input,https://github.com/react/react/issues/8683,Issue reproduction,2017 browser-dependent composition/change sequences and premature derived actions
SVELTE,Svelte runtime warnings,https://svelte.dev/docs/svelte/runtime-warnings,Official documentation,Hydration parser-repair mismatch and lifecycle/ownership diagnostics
QSYNC,Qwik synchronous event processing,https://qwik.dev/tutorial/events/synchronous-sync/,Official documentation,Synchronous event phase versus delayed handler; explicit synchronous subset
QDRAG,Qwik drag and drop,https://www.qwik.dev/docs/cookbook/drag%26drop/,Official documentation,DataTransfer access and default prevention require timely dispatch handling
HTMX,htmx hx-history,https://htmx.org/attributes/hx-history/,Official documentation,Prevent sensitive page snapshots from entering framework history storage
